evaluation_version,factor_key,factor_label,group_name,group_value,horizon,horizon_label,ic_count,mean_ic,median_ic,positive_ic_rate,status
v4,return_20d,20日モメンタム,全体,全体,1d,1営業日,1,-0.0833123312331233,-0.0833123312331233,0.0,サンプル不足
v4,return_20d,20日モメンタム,全体,全体,3d,3営業日,1,0.11812781278127811,0.11812781278127811,1.0,サンプル不足
v4,return_20d,20日モメンタム,全体,全体,5d,5営業日,1,0.13466546654665465,0.13466546654665465,1.0,サンプル不足
v4,return_20d,20日モメンタム,全体,全体,10d,10営業日,1,-0.014641464146414639,-0.014641464146414639,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,その他製品,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,その他製品,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,その他製品,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,その他製品,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,その他金融業,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,その他金融業,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,その他金融業,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,その他金融業,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,ガラス・土石製品,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,ガラス・土石製品,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,ガラス・土石製品,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,ガラス・土石製品,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,ゴム製品,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,ゴム製品,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,ゴム製品,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,ゴム製品,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,サービス業,1d,1営業日,1,-0.7142857142857143,-0.7142857142857143,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,サービス業,3d,3営業日,1,-0.48571428571428577,-0.48571428571428577,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,サービス業,5d,5営業日,1,-0.2571428571428572,-0.2571428571428572,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,サービス業,10d,10営業日,1,-0.08571428571428573,-0.08571428571428573,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,不動産業,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,不動産業,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,不動産業,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,不動産業,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,保険業,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,保険業,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,保険業,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,保険業,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,化学,1d,1営業日,1,-0.46703296703296704,-0.46703296703296704,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,化学,3d,3営業日,1,0.3681318681318681,0.3681318681318681,1.0,サンプル不足
v4,return_20d,20日モメンタム,業種,化学,5d,5営業日,1,0.22527472527472525,0.22527472527472525,1.0,サンプル不足
v4,return_20d,20日モメンタム,業種,化学,10d,10営業日,1,-0.0934065934065934,-0.0934065934065934,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,卸売業,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,卸売業,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,卸売業,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,卸売業,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,小売業,1d,1営業日,1,-0.5,-0.5,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,小売業,3d,3営業日,1,-0.5,-0.5,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,小売業,5d,5営業日,1,-0.5,-0.5,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,小売業,10d,10営業日,1,0.5,0.5,1.0,サンプル不足
v4,return_20d,20日モメンタム,業種,建設業,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,建設業,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,建設業,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,建設業,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,情報・通信業,1d,1営業日,1,0.5,0.5,1.0,サンプル不足
v4,return_20d,20日モメンタム,業種,情報・通信業,3d,3営業日,1,-0.5,-0.5,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,情報・通信業,5d,5営業日,1,-1.0,-1.0,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,情報・通信業,10d,10営業日,1,0.5,0.5,1.0,サンプル不足
v4,return_20d,20日モメンタム,業種,機械,1d,1営業日,1,0.087012987012987,0.087012987012987,1.0,サンプル不足
v4,return_20d,20日モメンタム,業種,機械,3d,3営業日,1,0.07012987012987014,0.07012987012987014,1.0,サンプル不足
v4,return_20d,20日モメンタム,業種,機械,5d,5営業日,1,0.18311688311688312,0.18311688311688312,1.0,サンプル不足
v4,return_20d,20日モメンタム,業種,機械,10d,10営業日,1,-0.01948051948051948,-0.01948051948051948,0.0,サンプル不足
v4,return_20d,20日モメンタム,業種,海運業,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,海運業,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,海運業,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,海運業,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,空運業,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,空運業,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,空運業,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,空運業,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,繊維製品,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,繊維製品,3d,3営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,繊維製品,5d,5営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,繊維製品,10d,10営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,証券、商品先物取引業,1d,1営業日,0,,,,サンプル不足
v4,return_20d,20日モメンタム,業種,証券、商品先物取引業,3d,3営業日,0,,,,サンプル不足
