rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base,universe_source,universe_label,liquidity_rank,in_yahoo_pool
26,6996,ニチコン,電気機器,プライム,6996.T,,,,,,,,,,,,2026-06-15,4070.0,0.0449293966623876,0.0,0.4171309192200556,1.1607890752008316,1.4230887858712844,3768.95,2691.312396240234,0.0798763581368817,0.512273345036345,-0.0697142857142857,0.8769726929588265,1554700.0,1798475.0,0.8644546073756932,6893243535.0,243,19.816666666666663,17.835,9.6,8.9,9.908333333333331,6.6,3.986666666666667,4.76,0.4666666666666667,81.87,47.25,18.81,10.59,v4,True,True,True,True,True,True,True,False,False,True,False,False,jpx_liquidity,JPX流動性,205.0,False
27,6376,日機装,精密機器,プライム,6376.T,,,,,,,,,,,,2026-06-15,3705.0,0.0291666666666665,0.1295731707317073,0.2387161484453359,0.5431070387338608,1.3407172777760126,3283.4,2828.633333333333,0.1284034841932142,0.3098198187581753,0.0,0.5754869623122857,703300.0,610610.0,1.1517990206514797,1963231835.0,243,18.8,16.589999999999996,9.566666666666668,9.633333333333336,9.55,2.8833333333333333,6.52,6.661666666666667,1.6683333333333334,81.87,44.96,19.18,9.4,v4,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,428.0,False
28,6101,ツガミ,機械,プライム,6101.T,,126.0,1.0,値上がり率,,,,,,,,2026-06-15,7140.0,0.0753012048192771,0.1479099678456592,0.1590909090909091,1.0349451428931662,1.321924488769462,6347.5,4965.173905436198,0.1248523040567153,0.4380160969150868,0.0,0.6726853869907894,489100.0,495885.0,0.98631739213729,3172868300.0,243,17.7,17.835,9.516666666666667,9.583333333333336,9.766666666666667,4.533333333333332,5.226666666666667,6.661666666666667,1.015,81.84,45.05,19.35,9.76,v4,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,329.0,True
29,4004,レゾナック・ホールディングス,化学,プライム,4004.T,,84.0,2.0,値上がり率・出来高,,,,,,,,2026-06-15,18395.0,0.0852507374631268,0.1518472135253601,0.1021569802276811,0.6632007233273056,1.9090965250726728,17604.25,14679.783333333333,0.0449181305650623,0.2530838897485998,-0.0542416452442159,0.7961035458373719,4237800.0,3963250.0,1.0692739544565697,71122353925.0,243,15.9,17.19,9.8,7.566666666666667,9.166666666666664,9.6,5.8533333333333335,5.215,0.6533333333333334,80.95,42.89,16.73,15.45,v4,True,True,True,True,True,True,True,False,False,True,True,True,jpx_liquidity,JPX流動性,25.0,True
30,5232,住友大阪セメント,ガラス・土石製品,プライム,5232.T,,,,,,,,,,,,2026-06-15,5804.0,0.0325564846112791,0.1601039376374176,0.2291401948326981,0.4947674740662398,0.572117427328735,5250.05,4442.400280761719,0.1055132808258969,0.3065009078841525,0.0,0.600763976599148,524100.0,350830.0,1.4938859276572698,1915367775.0,243,18.73333333333333,16.319999999999997,8.333333333333336,9.4,9.533333333333337,2.7500000000000004,7.546666666666668,6.661666666666667,1.4933333333333334,80.77,43.39,18.93,10.3,v4,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,436.0,False
31,6997,日本ケミコン,電気機器,プライム,6997.T,,22.0,1.0,値上がり率,,,,,,,,2026-06-15,4790.0,0.1473053892215567,0.0562293274531422,0.627038043478261,2.1661055470718367,2.3587869373279826,4271.7,2824.740694173177,0.121333426972868,0.6957308718215176,-0.1476868327402135,1.4603642901940828,1541200.0,1791425.0,0.8603206944192473,8095688850.0,243,19.816666666666663,17.835,9.908333333333331,9.533333333333337,9.908333333333331,6.983333333333335,3.933333333333333,2.7416666666666663,0.0758333333333333,80.74,47.56,19.44,10.92,v4,True,True,True,True,True,True,True,False,False,True,False,False,jpx_liquidity,JPX流動性,182.0,True
32,8795,Ｔ＆Ｄホールディングス,保険業,プライム,8795.T,,,,,,,,,,,,2026-06-15,4802.0,0.0191001697792869,0.0926052332195677,0.2001999500124969,0.3320666200182423,0.3968225381303449,4313.2,4041.172045898437,0.1133265325048689,0.1882691321874703,0.0,0.3557844501145131,2172900.0,2502995.0,0.8681199922492854,10877379305.0,243,18.5,14.79,7.25,9.516666666666667,8.616666666666667,7.716666666666665,4.04,6.661666666666667,3.6516666666666655,80.74,40.54,18.13,11.76,v4,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,138.0,False
33,5471,大同特殊鋼,鉄鋼,プライム,5471.T,,135.0,1.0,値上がり率,,,,,,,,2026-06-15,2460.0,0.0718954248366012,0.1524947294448349,0.3405994550408719,0.2594021671847328,0.5756450057490738,2070.4,1949.4799926757807,0.1881761978361669,0.2618749662690811,0.0,0.4930371839944412,1877600.0,1288890.0,1.4567573648643406,2738647872.5,243,19.4,13.05,8.366666666666667,9.908333333333331,9.233333333333333,4.083333333333334,7.493333333333334,6.661666666666667,2.2516666666666665,80.45,40.82,19.14,11.58,v4,True,True,True,True,True,True,True,True,True,False,True,False,jpx_liquidity,JPX流動性,356.0,True
34,6963,ローム,電気機器,プライム,6963.T,,135.0,1.0,出来高,,,,,,,,2026-06-15,5257.0,0.0658961881589619,0.0917964693665627,0.2682750301568155,0.6054293610386263,1.4768195923520515,4977.15,4053.411185709635,0.0562269571943783,0.2969323266619572,-0.0639245014245014,0.8710551150628546,4563800.0,5916690.0,0.7713434369554599,29444703585.0,243,19.06666666666667,16.86,9.65,7.966666666666665,9.5,9.25,2.773333333333334,4.888333333333334,0.49,80.45,45.58,17.47,12.02,v4,True,True,True,True,True,True,True,False,False,True,False,False,jpx_liquidity,JPX流動性,46.0,True
35,8750,第一ライフグループ,保険業,プライム,8750.T,,56.0,1.0,出来高,,,,,,,,2026-06-15,1776.0,0.0128314798973481,0.0650674662668666,0.0996904024767801,0.278975932576508,0.4234815389537518,1673.8,1527.7088338216147,0.0610586688971204,0.1625251884924148,0.0,0.1769688560596312,9102900.0,9504510.0,0.9577453230098132,15640049622.5,243,15.766666666666666,13.56,7.433333333333333,8.183333333333335,8.233333333333334,8.4,5.026666666666666,6.661666666666667,6.836666666666668,80.1,36.76,16.42,13.43,v4,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,97.0,True
