rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
11,7480,スズデン,卸売業,スタンダード,7480.T,スズデン(株),31,1,値上がり率,220,2026-08-21,2026-07-01,5,1,48.0,17.0,2026-08-21,3395.0,0.06259780907668233,-0.004398826979472137,0.39425051334702266,0.6642156862745099,1.0062409369859844,3002.9,2501.983333333333,0.1305737786806087,0.3569235073508352,-0.0516759776536313,1.0228974737425804,154300.0,104390.0,1.4781109301657247,353651225.0,276,19.327217125382262,17.834862385321102,9.908256880733946,8.715596330275229,9.571865443425077,4.954128440366973,5.45565749235474,4.966360856269113,0.706422018348624,81.44,47.07,18.29,10.41,v7,True,True,True,True,True,True,True,True,False,True,False,False
12,2108,日本甜菜製糖,食料品,プライム,2108.T,日本甜菜製糖(株),68,1,値上がり率,183,2026-08-21,2026-07-23,2,1,65.0,-3.0,2026-08-21,5810.0,0.04121863799283143,0.06801470588235303,0.1796954314720811,0.362250879249707,0.3900750746242676,5258.0,4821.166666666667,0.10498288322556104,0.20510249939502878,0.0,0.24755117114869193,63300.0,30500.0,2.0754098360655737,163367000.0,290,16.269113149847094,16.403669724770644,8.715596330275229,8.379204892966362,8.654434250764526,4.434250764525993,6.238532110091743,6.636085626911315,5.565749235474007,81.3,41.39,17.03,10.67,v7,True,True,True,True,True,True,True,True,True,True,True,True
13,7272,ヤマハ発動機,輸送用機器,プライム,7272.T,ヤマハ発動機(株),76,1,出来高,175,2026-08-21,2026-06-15,47,46,64.0,-12.0,2026-08-21,1940.0,0.0038809831824062613,-0.004617752693689026,0.4946070878274269,0.5557337610264634,0.5921214608124743,1686.075,1390.2550313313802,0.1506012484616639,0.39542742610480297,-0.004617752693689026,0.856318359774605,6377900.0,10299720.0,0.6192304256814748,17637373810.0,290,19.449541284403672,17.394495412844034,9.266055045871559,9.051987767584098,9.694189602446484,8.134556574923547,1.0764525993883791,6.165137614678899,1.0703363914373087,81.3,46.11,18.75,9.21,v7,True,True,True,True,True,True,True,False,True,True,False,False
14,4689,ＬＩＮＥヤフー,情報・通信業,プライム,4689.T,ＬＩＮＥヤフー(株),19,1,出来高,232,2026-08-21,2026-06-15,47,46,21.0,2.0,2026-08-21,525.5999755859375,0.01565212673611116,0.03811966869108585,0.2024707578280449,0.2741817589962121,0.4598177717624212,477.38499755859374,442.2566665649414,0.10099810063977954,0.18845009091289278,0.0,0.34054527754050207,25714100.0,19093600.0,1.3467392215192526,9486153843.101654,290,16.88073394495413,15.467889908256879,8.960244648318042,8.287461773700306,8.379204892966362,7.064220183486238,5.08868501529052,6.636085626911315,4.366972477064221,81.13,41.31,16.67,12.15,v7,True,True,True,True,True,True,True,True,True,True,True,True
15,6869,シスメックス,電気機器,プライム,6869.T,シスメックス(株),131,2,値上がり率・出来高,220,2026-08-21,2026-06-19,9,1,141.0,10.0,2026-08-21,1976.5,0.030231952045869148,0.030231952045869148,0.30807412309728655,0.4102747056724938,0.4503464567324109,1754.3,1571.675,0.12666020635011122,0.2575755165667202,-0.0017676767676767513,0.7523201146648765,3591800.0,3139555.0,1.1440474844364885,5782273227.5,290,18.532110091743117,16.89908256880734,8.929663608562691,8.685015290519878,9.051987767584098,6.727828746177369,4.477064220183486,6.229357798165138,1.4770642201834863,81.01,44.36,17.74,11.2,v7,True,True,True,True,True,True,True,False,True,True,True,True
16,3932,アカツキ,情報・通信業,プライム,3932.T,(株)アカツキ,110,1,値上がり率,141,2026-08-21,2026-08-20,2,2,37.0,-73.0,2026-08-21,3730.0,0.0332409972299168,0.11011904761904767,0.28709454796411316,0.17480314960629917,0.25928385220479844,3198.25,3029.65,0.16626279996873294,0.23116531612562508,0.0,0.3803928613209677,271800.0,81640.0,3.329250367466928,305098275.0,290,18.226299694189603,13.871559633027523,8.134556574923547,9.235474006116208,8.929663608562691,4.892966360856269,7.0703363914373085,6.636085626911315,3.9174311926605503,80.91,40.23,18.17,11.96,v7,True,True,True,True,True,True,True,True,True,True,True,True
17,5575,Ｇｌｏｂｅｅ,情報・通信業,グロース,5575.T,(株)Ｇｌｏｂｅｅ,15,1,値上がり率,236,2026-08-21,2026-06-29,11,2,117.0,102.0,2026-08-21,1295.0,0.09006734006733996,0.05028386050283862,0.19575253924284386,1.0171339563862927,1.1369636963696368,1096.95,836.85,0.18054605952869318,0.5474696779590129,0.0,0.7596340110893394,40800.0,25660.0,1.5900233826968044,24911935.0,280,16.819571865443425,17.834862385321102,9.908256880733946,9.327217125382264,9.908256880733946,2.9663608562691133,5.626911314984709,6.636085626911315,1.412844036697248,80.44,44.56,19.24,8.59,v7,True,False,True,True,True,True,True,True,True,False,True,False
18,196A,ＭＦＳ,その他金融業,グロース,196A.T,(株)ＭＦＳ,46,1,値上がり率,205,2026-08-21,2026-06-29,7,1,138.0,92.0,2026-08-21,333.0,0.04716981132075482,0.08823529411764697,0.22878228782287824,0.3266932270916334,0.15625,293.0,276.2,0.13651877133105805,0.2056480811006518,0.0,0.27650307915747907,134600.0,48340.0,2.78444352503103,16448435.0,273,17.431192660550458,15.908256880733942,7.155963302752293,8.960244648318042,8.685015290519878,2.6911314984709476,6.948012232415902,6.636085626911315,5.287461773700306,79.7,40.5,17.65,9.64,v7,True,False,True,True,True,True,True,True,True,True,True,False
19,319A,技術承継機構,金属製品,グロース,319A.T,(株)技術承継機構,58,1,値上がり率,193,2026-08-21,2026-06-17,10,2,17.0,-41.0,2026-08-21,21080.0,0.0435643564356436,0.03434739941118736,0.31339563862928355,0.2660660660660661,0.8737777777777778,18579.5,17623.0,0.13458381549557297,0.19616410372808257,0.0,0.7824751477189751,58800.0,48385.0,1.2152526609486412,881333050.0,289,18.654434250764528,15.357798165137615,9.663608562691131,8.868501529051986,8.56269113149847,5.718654434250765,4.697247706422019,6.636085626911315,1.3486238532110093,79.51,43.68,17.43,10.42,v7,True,True,True,True,True,True,True,True,True,True,True,True
20,6998,日本タングステン,電気機器,スタンダード,6998.T,日本タングステン(株),79,1,値上がり率,172,2026-08-21,2026-06-18,6,1,18.0,-61.0,2026-08-21,3180.0,0.03921568627450989,-0.02752293577981646,0.6510903426791277,0.576598909271195,0.580551036807057,2600.25,2243.3166666666666,0.22295933083357378,0.41754396392246607,-0.08092485549132944,1.1886936086317443,128200.0,143230.0,0.8950638832646792,457151675.0,276,19.816513761467892,17.504587155963304,9.174311926605505,9.602446483180428,9.724770642201836,5.259938837920489,3.1070336391437308,4.238532110091743,0.42813455657492355,78.86,46.5,19.33,8.37,v7,True,True,True,True,True,True,True,False,False,False,False,False
