liquidity_rank,code,name,industry,market,ticker,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,in_yahoo_pool,universe_source,universe_label
14,8316,三井住友フィナンシャルグループ,銀行業,プライム,8316.T,2026-07-06,6800.0,0.01918465227817756,0.07187894073139978,0.11384111384111395,0.2550756736803248,0.3246292932697905,6448.2,5978.116666666667,0.05455786110852645,0.13748198289873903,0.0,0.30861282239387383,10412500.0,13996970.0,0.7439110035957782,88546026160.0,258,True,jpx_liquidity,JPX流動性
15,5706,三井金属,非鉄金属,プライム,5706.T,2026-07-06,37520.0,-0.031491997934950944,-0.10538865045302814,-0.09262394195888757,0.18922345483359737,0.9566463114163843,43577.0,44018.0,-0.1389953415792735,-0.14762142759780095,-0.31657559198542806,1.0672217785220688,843200.0,1986715.0,0.42441920456633186,85560912600.0,258,False,jpx_liquidity,JPX流動性
16,9983,ファーストリテイリング,小売業,プライム,9983.T,2026-07-06,86930.0,0.028757396449704098,0.030220431381843937,0.10289266683582854,0.33553541250576124,0.5377272853848925,82329.5,77103.33333333333,0.05587911987805105,0.1274480134883922,0.0,0.24373551482505515,827800.0,965940.0,0.8569890469387332,78892927000.0,258,False,jpx_liquidity,JPX流動性
17,7011,三菱重工業,機械,プライム,7011.T,2026-07-06,4110.0,0.08386075949367089,0.12571898110106816,0.11111111111111116,-0.1408862876254181,-0.009919064722814785,3738.85,4095.0666666666666,0.0992684916485016,0.003646664278969869,-0.20660117534492184,0.4475494232771325,35898600.0,20262230.0,1.7717003508498324,78594097460.0,258,True,jpx_liquidity,JPX流動性
18,6723,ルネサスエレクトロニクス,電気機器,プライム,6723.T,2026-07-06,4710.0,-0.022821576763485507,-0.02079002079002079,0.1379560280260932,1.0367567567567568,1.0046818472015322,4665.35,3935.475,0.00957055740726842,0.1968059764069141,-0.08061682607846965,0.5391349648477793,11492400.0,17058225.0,0.6737160519338912,77001227195.0,258,True,jpx_liquidity,JPX流動性
19,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,プライム,6525.T,2026-07-06,11270.0,-0.060833333333333295,0.12959807557381975,0.5544827586206897,1.1891996891996892,0.8256649498378288,9823.1,7954.316666666667,0.14729566022945906,0.4168407510387442,-0.060833333333333295,1.0736165046432575,11457600.0,7364565.0,1.5557741699611587,76610490290.0,258,True,jpx_liquidity,JPX流動性
20,5802,住友電気工業,非鉄金属,プライム,5802.T,2026-07-06,2592.5,-0.026839339339339352,-0.10433580929348762,-0.7864497528830313,-0.7179305842672179,-0.6056481889024083,5011.025,9148.825,-0.4826407770865242,-0.7166302776586064,-0.8143573218761189,2.6053304182408645,18064100.0,19411570.0,0.9305841825261945,75643280727.5,258,True,jpx_liquidity,JPX流動性
21,8411,みずほフィナンシャルグループ,銀行業,プライム,8411.T,2026-07-06,8195.0,0.014483783114632276,0.07096184004181905,0.08370801375297532,0.25324973237498094,0.35069419267070767,7825.45,7264.6,0.04722412129653897,0.1280731217135147,-0.006546248030064206,0.33679472021581464,6572200.0,9739495.0,0.6747988473735035,74893247070.0,258,True,jpx_liquidity,JPX流動性
22,7203,トヨタ自動車,輸送用機器,プライム,7203.T,2026-07-06,2923.0,0.03359264497878356,0.05447330447330456,0.03560673162090344,-0.10116851168511687,-0.11048788658508957,2783.225,2973.95,0.05022051756505497,-0.017132097042653616,-0.24783898188754805,0.2876806406092887,26728000.0,26697950.0,1.001125554583779,73771887115.0,258,True,jpx_liquidity,JPX流動性
23,7974,任天堂,その他製品,プライム,7974.T,2026-07-06,7033.0,-0.013881099270891761,0.014131218457101635,-0.07945026178010473,-0.20477159656264132,-0.3071754530233689,7068.55,7469.3,-0.00502932001612777,-0.058412434900191434,-0.32255701945075677,0.3811157987692949,7191000.0,10310300.0,0.6974578819239013,70445405775.0,258,True,jpx_liquidity,JPX流動性
24,3436,ＳＵＭＣＯ,金属製品,プライム,3436.T,2026-07-06,5171.0,0.01511582253631727,0.3469653555613441,0.4681998864281658,1.9330686330119113,2.3232647814910026,4083.3021240234375,3348.942374674479,0.2663770259803384,0.5440695662918436,0.0,1.118838798879467,26068000.0,15111655.0,1.7250261470368402,65605099200.0,258,True,jpx_liquidity,JPX流動性
25,6758,ソニーグループ,電気機器,プライム,6758.T,2026-07-06,3422.0,0.012426035502958621,0.03728402546226128,-0.02451539338654507,0.033524614919963724,-0.13597039721779813,3285.45,3374.3333333333335,0.041562038685720504,0.014126247159932825,-0.12585707748947794,0.27726780625616876,12783400.0,20169740.0,0.6337910156501769,65452298260.0,258,True,jpx_liquidity,JPX流動性
26,6752,パナソニック　ホールディングス,電気機器,プライム,6752.T,2026-07-06,4557.0,0.007739938080495445,0.0373321192806737,0.2750419697817572,0.6071239640275083,1.2277655760021826,4288.9,3616.7083333333335,0.0625102007507754,0.2599854840382023,-0.044654088050314455,0.5821985886359947,11643300.0,15141935.0,0.7689439955989773,64843599190.0,258,True,jpx_liquidity,JPX流動性
27,6501,日立製作所,電気機器,プライム,6501.T,2026-07-06,4805.0,0.041170097508125725,0.07111012037449838,-0.04492148678195185,0.008606213266162843,-0.0817655157072269,4680.3,4907.133333333333,0.026643591222784924,-0.020813237871398105,-0.1693592504528766,0.32618579727838937,11352800.0,13416745.0,0.8461664882205036,62082808465.0,258,True,jpx_liquidity,JPX流動性
28,6762,ＴＤＫ,電気機器,プライム,6762.T,2026-07-06,3501.0,-0.05352798053527985,-0.025605343723907548,-0.05760430686406459,0.6860101131712015,0.6265505721132154,3743.5,3273.675,-0.06477895018031254,0.06944030791083411,-0.1483823887132084,0.6566587598534673,14040500.0,15611470.0,0.899370783148544,57746496835.0,258,True,jpx_liquidity,JPX流動性
29,7735,ＳＣＲＥＥＮホールディングス,電気機器,プライム,7735.T,2026-07-06,17860.0,-0.057022175290390664,0.06531464360274386,0.5187074829931972,0.9362532523850824,1.253978833453949,16152.75,12755.333333333334,0.10569407685997745,0.4001986097318768,-0.08363263211903538,0.7973138840353349,3715700.0,3443095.0,1.0791744055856722,57485729775.0,258,True,jpx_liquidity,JPX流動性
30,4004,レゾナック・ホールディングス,化学,プライム,4004.T,2026-07-06,16750.0,-0.042857142857142816,-0.06241253848306749,0.04884157795867261,0.42129826050063635,1.3531890980612533,17707.75,16466.916666666668,-0.05408648755488421,0.01719103454907045,-0.13881748071979438,0.6635581713110191,2339600.0,3137255.0,0.7457474766953913,54362685700.0,258,False,jpx_liquidity,JPX流動性
31,4063,信越化学工業,化学,プライム,4063.T,2026-07-06,7415.0,0.06567979304397809,0.06813598386632091,0.08043129826606443,0.12792820200791,0.42630882087332145,7160.6,7120.8,0.03552774907130685,0.04131558251881806,-0.05008967460927494,0.4552906933984745,11929500.0,7137735.0,1.6713285096742874,52716577485.0,258,True,jpx_liquidity,JPX流動性
32,6098,リクルートホールディングス,サービス業,プライム,6098.T,2026-07-06,11895.0,-0.002097315436241587,0.05312084993359889,0.10599721059972111,0.7048874874587931,0.28011299862535144,11190.0,9431.666666666666,0.06300268096514738,0.2611768863756849,-0.002097315436241587,0.35652502840821243,2763900.0,4327720.0,0.6386503747931936,47459726550.0,258,False,jpx_liquidity,JPX流動性
33,6861,キーエンス,電気機器,プライム,6861.T,2026-07-06,80910.0,0.0075965130759652055,0.034654731457800514,0.07908775673512936,0.3880597014925373,0.4484253160591398,77045.5,74203.66666666667,0.050158672472759624,0.09037738476535284,-0.0387311393608174,0.2887848104172486,413300.0,612750.0,0.674500203998368,45924956800.0,258,False,jpx_liquidity,JPX流動性
34,8766,東京海上ホールディングス,保険業,プライム,8766.T,2026-07-06,7810.0,0.02979957805907163,0.07753863134657846,0.07992256637168138,0.07324446887453617,0.34408497336179233,7284.0,7244.633333333333,0.07221306974190012,0.07803937627393154,-0.01748647628632527,0.35727533578751686,4990200.0,6249935.0,0.7984403037791593,44212666530.0,258,True,jpx_liquidity,JPX流動性
35,6954,ファナック,電気機器,プライム,6954.T,2026-07-06,7477.0,0.0051082134695523695,0.06041696213303083,0.04896184062850728,0.35846656976744184,0.17444414277190035,7302.5,7250.016666666666,0.023895926052721617,0.03130797400465757,-0.11283815851922163,0.5150608182186712,4083900.0,5998180.0,0.6808565264796989,42685755845.0,258,True,jpx_liquidity,JPX流動性
