rank,code,ticker,name,market,industry,liquidity_rank,in_yahoo_pool,universe_source,universe_label,best_yahoo_rank,ranking_hits,ranking_sources,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
21,6264,6264.T,マルマエ,プライム,機械,376,True,jpx_liquidity,JPX流動性,20.0,1.0,値上がり率,2026-06-15,2660.0,0.1490280777537798,0.35093956323006603,0.2068965517241379,0.5578330893118595,1.7771262841474722,2195.55,1963.6416666666667,0.21154152717997765,0.3546259713033182,0.0,1.0934518869956928,3123100.0,983965.0,3.173995009985111,2456223645.0,243,18.566666666666666,16.679999999999996,9.783333333333335,9.908333333333333,9.666666666666668,3.75,7.926666666666666,6.661666666666667,0.24500000000000002,83.19,45.03,19.58,11.68,v4,True,True,True,True,True,True,True,True,True,False,False,False
22,6779,6779.T,日本電波工業,プライム,電気機器,129,False,jpx_liquidity,JPX流動性,,,,2026-06-15,3820.0,0.001310615989515096,-0.1218390804597701,0.6310845431255336,1.8821598810422344,3.169338056109604,3519.4,2277.8482564290366,0.08541228618514518,0.677021280596005,-0.2091097308488613,1.6774715626907446,3612100.0,2873150.0,1.2571915841498007,11500274910.0,243,19.816666666666666,17.835,9.908333333333333,9.066666666666665,9.908333333333333,7.866666666666665,7.04,1.47,0.07583333333333334,82.99,47.56,18.97,14.91,v4,True,True,True,True,True,True,True,True,False,True,False,False
23,7729,7729.T,東京精密,プライム,精密機器,190,False,jpx_liquidity,JPX流動性,,,,2026-06-15,19760.0,0.059233449477351874,0.1875,0.20524550167734068,0.36006359166258783,0.830663052430223,17398.5,16400.951741536457,0.13573009167456962,0.20480813012555488,0.0,0.6699729243197015,528600.0,425545.0,1.242171803217051,7556612525.0,243,18.53333333333333,15.180000000000001,9.083333333333332,9.65,8.766666666666667,6.85,6.946666666666666,6.661666666666667,1.05,82.72,42.8,18.42,13.8,v4,True,True,True,True,True,True,True,True,True,True,True,True
24,6361,6361.T,荏原製作所,プライム,機械,81,True,jpx_liquidity,JPX流動性,29.0,2.0,値上がり率・出来高,2026-06-15,6204.0,0.12677079549582282,0.2333996023856859,0.1598429613011778,0.3233788395904438,0.5888470266403214,5442.05,5186.766666666666,0.1400115765198775,0.19612089741200367,0.0,0.7969554389681835,4425200.0,3292430.0,1.3440528728021552,17946148465.0,243,17.733333333333334,14.64,8.45,9.683333333333335,8.666666666666668,8.666666666666668,7.28,6.661666666666667,0.6416666666666666,82.42,40.82,18.35,15.95,v4,True,True,True,True,True,True,True,True,True,True,True,True
25,4047,4047.T,関東電化工業,プライム,化学,251,False,jpx_liquidity,JPX流動性,,,,2026-06-15,3885.0,0.03600000000000003,-0.005121638924455829,0.5235294117647058,1.5248937810073975,2.818132118188678,3570.8,2289.1353006998697,0.08799148650162425,0.6971473895895179,-0.11804767309875142,1.0511315226881248,1537800.0,1385235.0,1.1101365472284486,5197765970.0,243,19.816666666666666,17.835,9.908333333333333,9.133333333333333,9.908333333333333,5.833333333333334,6.08,3.5,0.2683333333333333,82.28,47.56,19.04,11.91,v4,True,True,True,True,True,True,True,False,False,True,False,False
26,6996,6996.T,ニチコン,プライム,電気機器,205,False,jpx_liquidity,JPX流動性,,,,2026-06-15,4070.0,0.0449293966623876,0.0,0.41713091922005563,1.1607890752008316,1.4230887858712844,3768.95,2691.312396240234,0.07987635813688176,0.512273345036345,-0.06971428571428573,0.8769726929588265,1554700.0,1798475.0,0.8644546073756932,6893243535.0,243,19.816666666666666,17.835,9.6,8.9,9.908333333333333,6.6,3.986666666666667,4.76,0.46666666666666673,81.87,47.25,18.81,10.59,v4,True,True,True,True,True,True,True,False,False,True,False,False
27,6376,6376.T,日機装,プライム,精密機器,428,False,jpx_liquidity,JPX流動性,,,,2026-06-15,3705.0,0.029166666666666563,0.12957317073170738,0.23871614844533595,0.5431070387338608,1.3407172777760126,3283.4,2828.633333333333,0.12840348419321423,0.3098198187581753,0.0,0.5754869623122857,703300.0,610610.0,1.1517990206514797,1963231835.0,243,18.8,16.589999999999996,9.566666666666668,9.633333333333335,9.55,2.8833333333333333,6.52,6.661666666666667,1.6683333333333334,81.87,44.96,19.18,9.4,v4,True,True,True,True,True,True,True,False,True,True,True,True
28,6101,6101.T,ツガミ,プライム,機械,329,True,jpx_liquidity,JPX流動性,126.0,1.0,値上がり率,2026-06-15,7140.0,0.07530120481927716,0.14790996784565924,0.15909090909090917,1.0349451428931662,1.321924488769462,6347.5,4965.173905436198,0.12485230405671532,0.4380160969150868,0.0,0.6726853869907894,489100.0,495885.0,0.9863173921372899,3172868300.0,243,17.7,17.835,9.516666666666667,9.583333333333336,9.766666666666667,4.533333333333332,5.226666666666667,6.661666666666667,1.015,81.84,45.05,19.35,9.76,v4,True,True,True,True,True,True,True,False,True,True,True,True
29,4004,4004.T,レゾナック・ホールディングス,プライム,化学,25,True,jpx_liquidity,JPX流動性,84.0,2.0,値上がり率・出来高,2026-06-15,18395.0,0.08525073746312684,0.15184721352536013,0.10215698022768116,0.6632007233273056,1.9090965250726732,17604.25,14679.783333333333,0.04491813056506233,0.25308388974859986,-0.05424164524421593,0.7961035458373719,4237800.0,3963250.0,1.0692739544565697,71122353925.0,243,15.9,17.19,9.8,7.566666666666667,9.166666666666664,9.6,5.8533333333333335,5.215,0.6533333333333334,80.95,42.89,16.73,15.45,v4,True,True,True,True,True,True,True,False,False,True,True,True
30,5232,5232.T,住友大阪セメント,プライム,ガラス・土石製品,436,False,jpx_liquidity,JPX流動性,,,,2026-06-15,5804.0,0.032556484611279135,0.1601039376374176,0.2291401948326981,0.4947674740662398,0.572117427328735,5250.05,4442.400280761719,0.10551328082589695,0.3065009078841525,0.0,0.600763976599148,524100.0,350830.0,1.4938859276572698,1915367775.0,243,18.733333333333334,16.319999999999997,8.333333333333336,9.4,9.533333333333335,2.7500000000000004,7.546666666666668,6.661666666666667,1.4933333333333334,80.77,43.39,18.93,10.3,v4,True,True,True,True,True,True,True,True,True,True,True,True
