code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,卸売業,スタンダード,8105.T,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株),140,1,出来高,111,2026-06-22,2026-06-15,4,1,65.0,-75.0
3997,トレードワークス,情報・通信業,スタンダード,3997.T,(株)トレードワークス,141,1,値上がり率,110,2026-06-22,2026-06-22,1,1,,
4503,アステラス製薬,医薬品,プライム,4503.T,アステラス製薬(株),141,1,出来高,110,2026-06-22,2026-06-15,5,4,97.0,-44.0
4004,レゾナック・ホールディングス,化学,プライム,4004.T,(株)レゾナック・ホールディングス,142,1,出来高,109,2026-06-22,2026-06-15,2,1,84.0,-58.0
4588,オンコリスバイオファーマ,医薬品,グロース,4588.T,オンコリスバイオファーマ(株),142,1,値上がり率,109,2026-06-22,2026-06-17,2,1,138.0,-4.0
4901,富士フイルムホールディングス,化学,プライム,4901.T,富士フイルムホールディングス(株),143,1,出来高,108,2026-06-22,2026-06-15,5,4,106.0,-37.0
6524,湖北工業,電気機器,スタンダード,6524.T,湖北工業(株),143,1,値上がり率,108,2026-06-22,2026-06-19,2,2,145.0,2.0
3807,フィスコ,情報・通信業,グロース,3807.T,(株)フィスコ,144,1,出来高増加率,107,2026-06-22,2026-06-22,1,1,,
4592,サンバイオ,医薬品,グロース,4592.T,サンバイオ(株),144,1,値上がり率,107,2026-06-22,2026-06-22,1,1,,
6098,リクルートホールディングス,サービス業,プライム,6098.T,(株)リクルートホールディングス,144,1,出来高,107,2026-06-22,2026-06-17,3,1,81.0,-63.0
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,プライム,8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス(株),145,1,出来高,106,2026-06-22,2026-06-17,4,4,130.0,-15.0
464A,ＱＰＳホールディングス,情報・通信業,グロース,464A.T,(株)ＱＰＳホールディングス,146,1,出来高,105,2026-06-22,2026-06-15,2,1,103.0,-43.0
6914,オプテックスグループ,電気機器,プライム,6914.T,オプテックスグループ(株),146,1,値上がり率,105,2026-06-22,2026-06-19,2,2,33.0,-113.0
3407,旭化成,化学,プライム,3407.T,旭化成(株),147,1,出来高,104,2026-06-22,2026-06-15,4,2,88.0,-59.0
4100,戸田工業,化学,スタンダード,4100.T,戸田工業(株),147,1,値上がり率,104,2026-06-22,2026-06-15,3,1,30.0,-117.0
8366,滋賀銀行,銀行業,プライム,8366.T,(株)滋賀銀行,148,1,値上がり率,103,2026-06-22,2026-06-22,1,1,,
6955,ＦＤＫ,電気機器,スタンダード,6955.T,ＦＤＫ(株),149,1,値上がり率,102,2026-06-22,2026-06-22,1,1,,
1605,ＩＮＰＥＸ,鉱業,プライム,1605.T,(株)ＩＮＰＥＸ,150,1,出来高,101,2026-06-22,2026-06-15,5,4,103.0,-47.0
6743,大同信号,電気機器,スタンダード,6743.T,大同信号(株),150,1,値上がり率,101,2026-06-22,2026-06-22,1,1,,
