code,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources
5132,(株)ｐｌｕｓｚｅｒｏ,82,1,値上がり率
7110,(株)クラシコム,82,1,出来高増加率
8113,ユニ・チャーム(株),82,1,出来高
2146,ＵＴグループ(株),83,1,出来高
3192,(株)白鳩,83,1,出来高増加率
6134,(株)ＦＵＪＩ,83,1,値上がり率
6059,(株)ウチヤマホールディングス,84,1,出来高増加率
3550,(株)スタジオアタオ,85,1,出来高増加率
6902,(株)デンソー,85,1,出来高
7048,ベルトラ(株),85,1,値上がり率
6178,日本郵政(株),86,1,出来高
6629,テクノホライゾン(株),86,1,値上がり率
7370,(株)Ｅｎｊｉｎ,86,1,出来高増加率
4199,ワンダープラネット(株),87,1,値上がり率
6701,ＮＥＣ,87,1,出来高
9171,栗林商船(株),87,1,出来高増加率
6098,(株)リクルートホールディングス,88,1,出来高
6217,津田駒工業(株),88,1,値上がり率
7377,ＤＮホールディングス(株),88,1,出来高増加率
206A,(株)ＰＲＩＳＭ　ＢｉｏＬａｂ,89,1,値上がり率
3054,(株)ハイパー,89,1,出来高増加率
6993,大黒屋ホールディングス(株),89,1,出来高
4395,(株)アクリート,90,1,値上がり率
7918,(株)ヴィア・ホールディングス,90,1,出来高増加率
2852,iシェアーズ グリーンJリート,91,1,出来高増加率
4902,コニカミノルタ(株),91,1,出来高
6433,ヒーハイスト(株),91,1,値上がり率
3687,(株)フィックスターズ,92,1,値上がり率
9021,西日本旅客鉄道(株),92,1,出来高
2181,パーソルホールディングス(株),93,1,出来高
254A,ＡＩフュージョンキャピタルグループ(株),93,1,値上がり率
4188,三菱ケミカルグループ(株),94,1,出来高
6855,日本電子材料(株),94,1,値上がり率
148A,(株)ハッチ・ワーク,95,1,出来高増加率
3315,日本コークス工業(株),95,1,出来高
5922,那須電機鉄工(株),95,1,値上がり率
1981,(株)協和日成,96,1,出来高増加率
3825,(株)リミックスポイント,96,1,値上がり率
6963,ローム(株),96,1,出来高
2342,(株)トランスジェニックグループ,97,1,値上がり率
7182,(株)ゆうちょ銀行,97,1,出来高
3697,(株)ＳＨＩＦＴ,98,1,出来高
485A,(株)パワーエックス,99,1,出来高
1545,(NEXT FUNDS)NASDAQ-100(H無)連動型上場投信,100,1,出来高
5035,ＨＯＵＳＥＩ(株),101,1,出来高増加率
6085,アーキテクツ・スタジオ・ジャパン(株),101,1,値上がり率
9107,川崎汽船(株),101,1,出来高
4543,テルモ(株),102,1,出来高
7501,(株)ティムコ,102,1,出来高増加率
9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ(株),102,1,値上がり率
2849,GX Morningstar 高配当 ESG-日本株式,103,1,出来高増加率
3649,(株)ファインデックス,103,1,値上がり率
7261,マツダ(株),103,1,出来高
1499,MAXIS 日本株高配当70マーケットニュートラル,104,1,出来高増加率
6103,オークマ(株),104,1,値上がり率
7272,ヤマハ発動機(株),104,1,出来高
2693,ＹＫＴ(株),105,1,値上がり率
3909,(株)ショーケース,105,1,出来高増加率
8601,(株)大和証券グループ本社,105,1,出来高
4506,住友ファーマ(株),106,1,出来高
7791,ドリームベッド(株),106,1,出来高増加率
4893,ノイルイミューン・バイオテック(株),107,1,値上がり率
7670,オーウエル(株),107,1,出来高増加率
8473,ＳＢＩホールディングス(株),107,1,出来高
6702,富士通(株),108,1,出来高
7725,(株)インターアクション,108,1,値上がり率
6407,ＣＫＤ(株),109,1,値上がり率
8144,(株)デンキョーグループホールディングス,109,1,出来高増加率
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス(株),109,1,出来高
5729,日本精鉱(株),110,1,値上がり率
9343,(株)アイビス,110,1,出来高増加率
5411,ＪＦＥホールディングス(株),111,1,出来高
7071,(株)アンビスホールディングス,111,1,値上がり率
9081,神奈川中央交通(株),111,1,出来高増加率
2349,(株)エヌアイデイ,112,1,出来高増加率
3667,(株)ｅｎｉｓｈ,112,1,出来高
4882,(株)ペルセウスプロテオミクス,112,1,値上がり率
4661,(株)オリエンタルランド,113,1,出来高
6138,ダイジェット工業(株),113,1,出来高増加率
7279,(株)ハイレックスコーポレーション,113,1,値上がり率
5994,(株)ファインシンター,114,1,出来高増加率
6999,ＫＯＡ(株),114,1,値上がり率
2858,GX 日経225 カバード・コール (プレミアム再投資型),115,1,出来高増加率
4612,日本ペイントホールディングス(株),115,1,出来高
2033,NEXT NOTES 韓国KOSPI･ダブル･ブルETN,116,1,値上がり率
2503,キリンホールディングス(株),116,1,出来高
9835,(株)ジュンテンドー,116,1,出来高増加率
3157,ジオリーブグループ(株),117,1,出来高増加率
4591,(株)リボミック,117,1,出来高
6464,(株)ツバキ・ナカシマ,117,1,値上がり率
1605,(株)ＩＮＰＥＸ,118,1,出来高
302A,(株)ビースタイルホールディングス,118,1,値上がり率
5936,東洋シヤッター(株),118,1,出来高増加率
200A,(NEXT FUNDS) 日経半導体株指数連動型上場投信,119,1,出来高
4055,ティアンドエスグループ(株),119,1,値上がり率
4563,アンジェス(株),119,1,出来高増加率
6503,三菱電機(株),120,1,出来高
7220,武蔵精密工業(株),120,1,値上がり率
1447,ＳＡＡＦホールディングス(株),121,1,値上がり率
7733,オリンパス(株),121,1,出来高
9034,南総通運(株),121,1,出来高増加率
4512,わかもと製薬(株),122,1,出来高増加率
6480,日本トムソン(株),122,1,値上がり率
8035,東京エレクトロン(株),122,1,出来高
4099,四国化成ホールディングス(株),123,1,値上がり率
4754,(株)トスネット,123,1,出来高増加率
8410,(株)セブン銀行,123,1,出来高
2252,GX Morningstar 米国中小型 Moat,124,1,出来高増加率
8698,マネックスグループ(株),124,1,出来高
504A,イノバセル(株),125,1,値上がり率
9502,中部電力(株),125,1,出来高
9930,北沢産業(株),125,1,出来高増加率
281A,インフォメティス(株),126,1,値上がり率
7186,(株)横浜フィナンシャルグループ,126,1,出来高
9753,アイエックス・ナレッジ(株),126,1,出来高増加率
2802,味の素(株),127,1,出来高
2916,仙波糖化工業(株),127,1,出来高増加率
3907,シリコンスタジオ(株),127,1,値上がり率
4531,有機合成薬品工業(株),128,1,値上がり率
5484,東北特殊鋼(株),128,1,出来高増加率
6659,(株)メディアリンクス,128,1,出来高
3407,旭化成(株),129,1,出来高
5246,(株)ＥＬＥＭＥＮＴＳ,129,1,値上がり率
5867,(株)エスネットワークス,129,1,出来高増加率
2563,iシェアーズ S&P500 米国株 ETF(H有),130,1,出来高増加率
8697,(株)日本取引所グループ,130,1,出来高
3064,(株)ＭｏｎｏｔａＲＯ,131,1,出来高
5969,(株)ロブテックス,131,1,出来高増加率
6856,(株)堀場製作所,131,1,値上がり率
1615,(NEXT FUNDS)東証銀行業株価指数連動型上場投信,132,1,出来高
4100,戸田工業(株),132,1,値上がり率
6904,原田工業(株),132,1,出来高増加率
186A,(株)アストロスケールホールディングス,133,1,出来高
5591,(株)ＡＶＩＬＥＮ,133,1,値上がり率
